,name,market,sectorCode,sectorName,industryCode,industryName,tradingDate,marketCap,close,volume,amount,returnOn1Day,returnOn1Week,returnOn1Month,returnOn3Months,returnOn6Months,returnOn1Year,fiftyTwoWeekHigh,fiftyTwoWeekLow,fiftyTwoWeekHighPct,fiftyTwoWeekLowPct,shares,sharesOutstanding,sharesPreferred,sharesFloating,sharesFloatingRate,foreignSharesHolding,foreignRate,foreignSharesLimit,foreignRateByLimit,numbersDate,trailingRevenue,trailingProfit,trailingNetProfit,trailingProfitRate,trailingEps,trailingPs,trailingPe,trailingPeg,yoyRevenue,yoyProfit,yoyNetProfit,yoyProfitRate,yoyEps,fiscalMonth,ifrsType,fiscalRevenue,fiscalRevenueGrowth,fiscalProfit,fiscalProfitGrowth,fiscalProfitRate,fiscalProfitRateGrowth,fiscalNetProfit,fiscalNetProfitGrowth,fiscalAsset,fiscalAssetGrowth,fiscalCapital,fiscalDebt,fiscalDebtGrowth,fiscalDebtRatio,fiscalRetentionRate,fiscalDividendYield,fiscalPayoutRatio,fiscalPayoutRatioGrowth,returnOnAsset,returnOnEquity,fiscalEps,fiscalEpsGrowth,fiscalPe,fiscalPriceToBook,fiscalDps,fiscalDpsGrowth,estimation,estimatedMonth,targetPrice,targetPricePct,nOfEstimations,estimatedRevenue,estimatedRevenueGrowth,estimatedProfit,estimatedProfitRate,estimatedProfitGrowth,estimatedProfitRateGrowth,estimatedNetProfit,estimatedNetProfitGrowth,estimatedAsset,estimatedAssetGrowth,estimatedDebt,estimatedDebtGrowth,estimatedEps,estimatedEpsGrowth,estimatedPe,forwardEps,forwardPe,forwardPeg,estimatedDps,estimatedDpsGrowth,estimatedPayoutRatio,estimatedPayoutRatioGrowth,wicsDate,groupByMarketCap,industryNameKrx,industryPe,products,ipo,beta
329180,HD현대중공업,kospi,G20,산업재,WI240,조선,20260327,52165728825000,497000,184741,90312050000,-2.74,-11.09,-16.33,-2.93,-1.58,79.75,648000,275500,-23.3,80.4,104961225,104961225,0,32169998,30.65,16024163,15.27,104961225,15.27,20260325,175806,20375,14155,11.59,15626.0,2.97,31.81,1.23,29.65,103.76,33.55,57.02,25.82,2025/12,D,175806,21.36,20375,188.93,11.59,137.99,14155,127.76,261630,34.92,93416,168214,22.91,180.07,1682.97,1.11,41.98,40.64,6.21,18.82,16072.53,124.28,32.54,5.73,5661.0,170.86,4.0,2026/12(E),807222.0,-38.43,18.0,238452,35.63,34939,14.65,71.48,26.4,26907,90.09,286567,9.53,173738,3.28,25638.0,63.28,19.39,27730.65,17.92,0.14,7468.0,31.92,29.13,-30.61,20260326,kosdaq150,선박 및 보트 건조업,13.79,"선박, 해양플랜트 및 엔진기계 등",20210917,0.842
068270,셀트리온,kospi,G35,건강관리,WI410,건강관리,20260327,47480417635500,205500,361419,73562418300,1.23,1.73,-15.95,14.17,15.51,17.74,248500,146216,-17.3,40.55,231048261,231048261,0,145303325,62.89,53885725,23.31,231048261,23.31,20260325,41626,11685,10314,28.07,4453.0,11.41,46.15,0.36,25.07,141.96,124.07,93.39,128.12,2025/12,D,41625,17.01,11685,137.5,28.07,102.96,10315,146.24,223349,6.08,173525,49824,43.37,28.71,8002.46,0.41,16.79,-56.68,4.75,5.94,4457.83,148.57,45.65,2.42,750.0,9.01,4.0,2026/12(E),269000.0,-23.61,20.0,52477,26.07,16980,32.36,45.31,15.28,14242,38.07,236466,5.87,46092,-7.49,6172.0,38.79,33.3,6462.37,31.8,0.14,721.0,-3.87,11.69,-30.38,20260326,kosdaq150,기초 의약물질 제조업,77.78,"램시마, 트룩시마, 허쥬마",20180209,0.66
028260,삼성물산,kospi,G20,산업재,WI250,"상사,자본재",20260327,45638702064000,268500,572460,151160204750,-3.42,-9.75,-22.62,11.64,41.09,116.53,360000,108300,-25.42,147.92,169976544,162168981,1467590,99911185,58.78,50343767,29.62,169976544,29.62,20260325,407423,32927,39066,8.08,14153.0,1.12,18.97,0.26,8.4,29.58,137.62,19.53,72.37,2025/12,D,407422,-3.23,32927,10.37,8.08,13.96,39067,40.93,865327,39.59,574969,290358,17.4,50.5,272936.79,1.17,12.18,-26.98,5.26,6.02,14722.36,15.35,19.63,0.94,2800.0,7.69,4.0,2026/12(E),371538.0,-27.73,13.0,446011,9.47,39042,8.75,18.57,8.29,36258,-7.19,773212,-10.65,268689,-7.46,15248.0,7.65,17.61,16457.86,16.31,0.03,2942.0,5.07,13.79,13.22,20260326,kosdaq150,기타 전문 도매업,33.96,"도소매, 건설, 남자용 정장 제조업 등",20141218,1.057
032830,삼성생명,kospi,G40,금융,WI520,보험,20260327,44500000000000,222500,219481,48123356000,0.23,-3.89,-9.55,36.92,48.14,159.63,246000,73600,-9.55,202.31,200000000,200000000,0,91444420,45.72,46305493,23.16,200000000,23.16,20260325,113912,25805,24515,22.65,11514.0,3.91,19.32,0.1,-3.23,84.33,132.77,90.36,187.62,2025/12,D,113911,5.11,25805,3.23,22.65,-1.82,24515,8.46,3506857,12.32,648353,2858504,4.28,440.89,64734.67,3.36,43.24,8.59,0.74,4.66,11799.79,9.3,19.28,0.68,5300.0,17.78,3.5,2026/12(E),249923.0,-10.97,13.0,,,28603,,10.84,nan,25409,3.65,3624034,3.34,2884516,0.91,12110.0,5.18,18.37,12659.99,17.58,0.02,5968.0,12.6,46.98,8.65,20260326,kosdaq150,보험업,10.94,"생명보험,부동산 임대",20100512,0.857
055550,신한지주,kospi,G40,금융,WI500,은행,20260327,44380182753500,93500,1009122,92673907750,0.11,-4.49,-6.03,21.74,33.95,93.18,106000,43600,-11.79,114.45,474654361,474654361,0,382282459,80.54,293279855,61.78,474654361,61.78,20260325,209378,70234,50844,33.54,10074.0,2.12,9.28,0.28,nan,66.21,23.99,nan,33.62,2025/12(P),D,292093,5.91,70234,8.74,24.05,-0.05,50845,11.55,7397643,6.93,588210,6809432,7.16,1157.65,1795.98,4.53,25.65,7.5,0.64,8.11,8615.53,19.58,10.69,0.84,2590.0,19.91,4.0,2026/12(E),120375.0,-22.33,17.0,276994,-5.17,74753,26.99,6.43,22.07,54926,8.03,8240509,11.39,7604198,11.67,11302.0,8.14,8.27,11328.41,8.25,0.01,2950.0,13.9,27.04,5.42,20260326,kosdaq150,기타 금융업,14.92,금융지주회사,20010910,0.575
042660,한화오션,kospi,G20,산업재,WI240,조선,20260327,37627564783200,122800,711131,85266300850,-2.31,-4.88,-13.52,5.41,12.04,81.93,149900,62500,-18.08,96.48,306413394,306413394,0,128979439,42.09,33924556,11.07,306413394,11.07,20260325,127836,11676,12459,9.13,4065.0,2.94,30.21,5.34,2.15,46.45,5.68,43.55,5.66,2025/12,D,127835,18.63,11676,390.79,9.13,313.12,12459,135.88,201409,12.87,61750,139659,7.59,226.17,301.48,,,,6.56,22.59,4032.99,135.85,30.92,6.24,,,4.0,2026/12(E),169100.0,-27.38,20.0,138218,8.12,17149,12.41,46.87,35.93,13530,8.6,205668,2.11,132068,-5.44,4414.0,8.56,27.82,4672.16,26.28,0.04,150.0,,3.4,,20260326,kosdaq150,선박 및 보트 건조업,13.79,선박 제조,20010202,0.946
012330,현대모비스,kospi,G25,경기관련소비재,WI300,자동차,20260327,36973527572500,407500,231568,92951280750,2.26,1.75,-13.21,13.83,35.38,45.8,529000,234500,-22.97,73.77,90732583,90732583,3974,59508305,65.59,38831458,42.81,90732583,42.81,20260325,611180,33575,36647,5.49,39651.0,0.6,10.28,-0.26,4.67,-5.64,-39.94,-9.85,-39.1,2025/12,D,611181,6.78,33575,9.24,5.49,2.23,36647,-9.74,704005,5.71,492128,211877,3.46,43.05,9984.14,1.74,16.09,17.1,5.35,7.68,40039.84,-8.74,10.04,0.73,6500.0,8.33,4.0,2026/12(E),583846.0,-30.2,26.0,655365,7.23,38319,5.85,14.13,6.56,44022,20.12,750358,6.58,223560,5.51,48617.0,22.52,8.38,50187.27,8.12,0.02,6879.0,5.83,14.18,-11.87,20260326,kosdaq150,자동차 신품 부품 제조업,13.79,"자동차A/S용 부품,컨테이너,특수중기,산업기계제품 생산,판매,부품모듈화,부품수출사업,환경/플랜트사업,특수중기부문(컨테이너)",19890905,0.859
006800,미래에셋증권,kospi,G40,금융,WI510,증권,20260327,36928541132000,66500,2206732,142937703000,1.84,-1.77,-8.38,191.65,227.41,571.24,73282,8463,-9.25,685.77,555316408,559566880,150575750,248331521,44.46,53816550,9.69,555316408,9.69,20260325,25775,19151,15830,74.3,2172.0,14.33,30.62,0.25,nan,209.1,114.83,nan,120.78,2025/12(P),D,28315,50.02,19151,61.19,67.64,52.03,15829,71.03,1371770,7.0,122637,1249133,6.82,1018.56,204.52,3.1,11.17,-29.3,0.7,7.94,1258.89,80.44,53.46,3.89,300.0,20.97,3.4,2026/12(E),59277.0,12.19,16.0,49454,74.66,28079,56.78,46.62,35.32,22097,39.6,1592678,16.1,1442458,15.48,3151.0,42.9,21.1,3087.16,21.54,0.09,658.0,119.33,17.56,57.21,20260326,kosdaq150,금융 지원 서비스업,21.02,"유가증권매매,유가증권위탁매매,유가증권인수",19750930,1.44
035420,NAVER,kospi,G50,커뮤니케이션서비스,WI601,소프트웨어,20260327,33252759256000,212000,356638,74644128750,0.24,-4.29,-16.21,-8.42,-16.54,7.18,290500,176900,-27.02,19.84,156852638,156852638,0,134940940,86.03,60210530,38.38,156852638,38.38,20260325,120351,22081,18188,18.35,12373.0,2.76,17.13,-0.4,10.73,12.66,-68.29,1.76,-42.48,2025/12,D,120350,12.08,22081,11.56,18.35,-0.43,18187,-5.86,410845,7.64,289530,121315,8.64,41.9,171316.67,1.08,22.68,144.66,4.59,7.36,12609.71,3.89,17.09,1.17,2630.0,132.74,4.0,2026/12(E),346105.0,-38.75,19.0,134337,11.62,25343,18.87,14.77,2.83,21590,18.71,428025,4.18,120899,-0.34,14293.0,15.49,14.83,14996.52,14.14,0.03,1778.0,-32.4,12.92,-43.03,20260326,kosdaq150,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",22.44,포털 서비스 및 온라인 광고,20081128,0.663
267260,HD현대일렉트릭,kospi,G20,산업재,WI230,기계,20260327,33055222795000,917000,143687,129931776500,-4.97,-4.38,-13.9,20.03,56.22,201.64,1111000,265000,-17.46,246.04,36047135,36047135,0,22525139,62.49,13347521,37.03,36047135,37.03,20260325,40795,9953,7318,24.4,20323.0,8.1,45.12,0.5,42.6,92.96,92.92,35.31,89.54,2025/12,D,40795,22.79,9953,48.77,24.4,21.15,7318,46.83,47698,25.67,20329,27369,19.62,134.63,1034.08,0.92,34.97,-9.61,17.09,41.5,20893.01,46.07,47.48,17.02,7100.0,32.71,4.0,2026/12(E),1137333.0,-19.37,15.0,47287,15.91,12628,26.71,26.88,9.47,9781,33.66,57664,20.89,29927,9.35,27203.0,33.85,33.71,29691.71,30.88,0.14,7491.0,5.51,27.61,-21.05,20260326,kosdaq150,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",39.15,"변압기, 고압차단기, 회전기, 배전반 등",20170510,1.24
